nom,type,niveau,image_url
Bouteille de Cocalane,Boisson,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/79178.w40h40.png
Parchemin de Diamant,Parchemin d'expérience,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/171663.w40h40.png
Poitrine de Glourson fumée,Viande comestible,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/69147.w40h40.png
Poitrine de Glourséleste fumée,Viande comestible,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/69148.w40h40.png
Serviette égarée,Objet utilisable,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/55130.w40h40.png
Bavette de Bléro au Frostiz,Viande comestible,Niv. 190,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/69145.w40h40.png
Bavette de Xa au Frostiz,Viande comestible,Niv. 190,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/69146.w40h40.png
Bifstèque de Givrefoux,Viande comestible,Niv. 180,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/69142.w40h40.png
Bifstèque de Tengu Givrefoux,Viande comestible,Niv. 180,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/69144.w40h40.png
Chair de Mansot Royal grillée,Viande comestible,Niv. 170,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/69141.w40h40.png
Entrecôte de Crocodaille ****,Viande comestible,Niv. 170,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/170892.w40h40.png
Entrecôte de Crocodaille **,Viande comestible,Niv. 170,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/170890.w40h40.png
Cuisse de Royalmouth rôtie,Viande comestible,Niv. 150,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/69138.w40h40.png
Entrecôte de Kanigrou ****,Viande comestible,Niv. 140,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/171378.w40h40.png
Filet de Koalak,Viande comestible,Niv. 120,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/69133.w40h40.png
Carré de viande cuit,Viande comestible,Niv. 120,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/69139.w40h40.png
Chair de Mansot grillée,Viande comestible,Niv. 120,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/69140.w40h40.png
Salade de Museau ***,Viande comestible,Niv. 120,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/69129.w40h40.png
Potion Bulbique,Potion,Niv. 110,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/12023.w40h40.png
Plat de Filtounga,Viande comestible,Niv. 100,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/69136.w40h40.png
Plume Vibrante de mansot,Objet utilisable,Niv. 100,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/94020.w40h40.png
Cuisse de Boufmouth rôtie,Viande comestible,Niv. 100,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/69137.w40h40.png
Potion Raide Rêve,Potion,Niv. 100,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/12721.w40h40.png
Essence de forêt,Potion,Niv. 100,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/12726.w40h40.png
Pain Tahde,Pain,Niv. 100,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/33022.w40h40.png
Potion Étoilée,Potion,Niv. 100,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/12722.w40h40.png
Poisskaille Givré en ragoût,Poisson comestible,Niv. 100,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/49141.w40h40.png
Pain Trépide,Pain,Niv. 100,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/33017.w40h40.png
Potion Torboyo,Potion,Niv. 100,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/12720.w40h40.png
Essence de bosquet,Potion,Niv. 100,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/12728.w40h40.png
Eau de la Fontaine de Noffoub,Potion,Niv. 100,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/12740.w40h40.png
Pain de Frostiz soufflé,Pain,Niv. 100,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/33073.w40h40.png
Poisskaille en fricassée,Poisson comestible,Niv. 100,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/49136.w40h40.png
Coffre Vorace endormi,Objet utilisable,Niv. 100,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/94023.w40h40.png
Fiole de Chichala,Potion,Niv. 100,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/12732.w40h40.png
Pain de Frostiz,Pain,Niv. 100,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/33072.w40h40.png
Poisskaille Givré en fricassée,Poisson comestible,Niv. 100,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/49135.w40h40.png
Pâté impérial,Viande comestible,Niv. 100,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/69143.w40h40.png
Potion d'altération,Potion,Niv. 100,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/12725.w40h40.png
Essence de bocage,Potion,Niv. 100,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/12729.w40h40.png
Entrecôte de Kanigrou,Viande comestible,Niv. 80,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/69132.w40h40.png
Pain Gre,Pain,Niv. 80,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/33013.w40h40.png
Entrecôte de Kanigrou **,Viande comestible,Niv. 80,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/171377.w40h40.png
Entrecôte de Crocodaille,Viande comestible,Niv. 70,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/69134.w40h40.png
Sang de Likrone,Potion,Niv. 60,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/12040.w40h40.png
Potion Eau de fée,Potion,Niv. 60,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/12041.w40h40.png
Brioche Dorée,Pain,Niv. 60,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/33008.w40h40.png
Cocawotte,Potion de téléportation,Niv. 60,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/94032.w40h40.png
Pain aux Céréales,Pain,Niv. 60,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/33006.w40h40.png
Pain aux Céréales,Pain,Niv. 60,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/33006.w40h40.png
Le Saut Sifflard,Objet utilisable,Niv. 60,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/94001.w40h40.png
Rougely,Friandise,Niv. 58,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/42020.w40h40.png
Vertgely,Friandise,Niv. 56,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/42021.w40h40.png
Blugely,Friandise,Niv. 54,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/42022.w40h40.png
Apéwicube,Objet utilisable,Niv. 50,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/94021.w40h40.png
Potion de Vigile,Potion de conquête,Niv. 50,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/14036.w40h40.png
Potion de Guérisseur,Potion de conquête,Niv. 50,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/14003.w40h40.png
